dataset,_wrapper,num_features_algo,cv_SPFSR
alon,DT,5,0.3846
alon,DT,5,0.3846
alon,DT,5,0.0833
alon,DT,5,0.0833
alon,DT,5,0.25
alon,DT,5,0.1538
alon,DT,5,0.3077
alon,DT,5,0.25
alon,DT,5,0.25
alon,DT,5,0.3333
alon,DT,5,0.3077
alon,DT,5,0.1538
alon,DT,5,0.4167
alon,DT,5,0.4167
alon,DT,5,0.1667
alon,DT,5,0.2308
alon,DT,5,0.3077
alon,DT,5,0.3333
alon,DT,5,0.3333
alon,DT,5,0.25
alon,DT,5,0.3077
alon,DT,5,0.0769
alon,DT,5,0.0833
alon,DT,5,0.3333
alon,DT,5,0.5
alon,DT,10,0.0769
alon,DT,10,0.4615
alon,DT,10,0.1667
alon,DT,10,0.25
alon,DT,10,0.25
alon,DT,10,0.2308
alon,DT,10,0.3846
alon,DT,10,0.0833
alon,DT,10,0.25
alon,DT,10,0.1667
alon,DT,10,0.1538
alon,DT,10,0.1538
alon,DT,10,0.4167
alon,DT,10,0.25
alon,DT,10,0.1667
alon,DT,10,0.2308
alon,DT,10,0.0769
alon,DT,10,0.0833
alon,DT,10,0.1667
alon,DT,10,0.4167
alon,DT,10,0.3846
alon,DT,10,0.3846
alon,DT,10,0.1667
alon,DT,10,0.25
alon,DT,10,0.4167
alon,DT,15,0.1538
alon,DT,15,0.1538
alon,DT,15,0.25
alon,DT,15,0.0833
alon,DT,15,0.5
alon,DT,15,0.2308
alon,DT,15,0.3846
alon,DT,15,0.25
alon,DT,15,0.1667
alon,DT,15,0.25
alon,DT,15,0.2308
alon,DT,15,0.1538
alon,DT,15,0.4167
alon,DT,15,0.1667
alon,DT,15,0.3333
alon,DT,15,0.3077
alon,DT,15,0.2308
alon,DT,15,0.0
alon,DT,15,0.4167
alon,DT,15,0.25
alon,DT,15,0.3077
alon,DT,15,0.3077
alon,DT,15,0.1667
alon,DT,15,0.25
alon,DT,15,0.4167
alon,KNN,5,0.2308
alon,KNN,5,0.3846
alon,KNN,5,0.3333
alon,KNN,5,0.0833
alon,KNN,5,0.1667
alon,KNN,5,0.0769
alon,KNN,5,0.3846
alon,KNN,5,0.0833
alon,KNN,5,0.1667
alon,KNN,5,0.3333
alon,KNN,5,0.0769
alon,KNN,5,0.3846
alon,KNN,5,0.3333
alon,KNN,5,0.3333
alon,KNN,5,0.1667
alon,KNN,5,0.4615
alon,KNN,5,0.2308
alon,KNN,5,0.1667
alon,KNN,5,0.4167
alon,KNN,5,0.3333
alon,KNN,5,0.3077
alon,KNN,5,0.2308
alon,KNN,5,0.1667
alon,KNN,5,0.0833
alon,KNN,5,0.4167
alon,KNN,10,0.3846
alon,KNN,10,0.3077
alon,KNN,10,0.0833
alon,KNN,10,0.25
alon,KNN,10,0.4167
alon,KNN,10,0.2308
alon,KNN,10,0.2308
alon,KNN,10,0.1667
alon,KNN,10,0.4167
alon,KNN,10,0.25
alon,KNN,10,0.1538
alon,KNN,10,0.2308
alon,KNN,10,0.25
alon,KNN,10,0.25
alon,KNN,10,0.25
alon,KNN,10,0.3846
alon,KNN,10,0.2308
alon,KNN,10,0.0833
alon,KNN,10,0.1667
alon,KNN,10,0.25
alon,KNN,10,0.3077
alon,KNN,10,0.1538
alon,KNN,10,0.25
alon,KNN,10,0.25
alon,KNN,10,0.25
alon,KNN,15,0.3077
alon,KNN,15,0.3077
alon,KNN,15,0.1667
alon,KNN,15,0.25
alon,KNN,15,0.25
alon,KNN,15,0.3077
alon,KNN,15,0.4615
alon,KNN,15,0.1667
alon,KNN,15,0.25
alon,KNN,15,0.3333
alon,KNN,15,0.1538
alon,KNN,15,0.1538
alon,KNN,15,0.3333
alon,KNN,15,0.25
alon,KNN,15,0.25
alon,KNN,15,0.2308
alon,KNN,15,0.2308
alon,KNN,15,0.0833
alon,KNN,15,0.1667
alon,KNN,15,0.25
alon,KNN,15,0.3846
alon,KNN,15,0.1538
alon,KNN,15,0.0833
alon,KNN,15,0.1667
alon,KNN,15,0.25
alon,NB,5,0.3077
alon,NB,5,0.3077
alon,NB,5,0.1667
alon,NB,5,0.0833
alon,NB,5,0.25
alon,NB,5,0.1538
alon,NB,5,0.3077
alon,NB,5,0.0833
alon,NB,5,0.25
alon,NB,5,0.4167
alon,NB,5,0.2308
alon,NB,5,0.0769
alon,NB,5,0.4167
alon,NB,5,0.0833
alon,NB,5,0.1667
alon,NB,5,0.1538
alon,NB,5,0.2308
alon,NB,5,0.0833
alon,NB,5,0.1667
alon,NB,5,0.25
alon,NB,5,0.1538
alon,NB,5,0.1538
alon,NB,5,0.25
alon,NB,5,0.0833
alon,NB,5,0.5
alon,NB,10,0.2308
alon,NB,10,0.3077
alon,NB,10,0.3333
alon,NB,10,0.0833
alon,NB,10,0.1667
alon,NB,10,0.3077
alon,NB,10,0.2308
alon,NB,10,0.0
alon,NB,10,0.1667
alon,NB,10,0.3333
alon,NB,10,0.1538
alon,NB,10,0.0
alon,NB,10,0.3333
alon,NB,10,0.0833
alon,NB,10,0.1667
alon,NB,10,0.2308
alon,NB,10,0.1538
alon,NB,10,0.0
alon,NB,10,0.25
alon,NB,10,0.25
alon,NB,10,0.3077
alon,NB,10,0.1538
alon,NB,10,0.1667
alon,NB,10,0.0
alon,NB,10,0.3333
alon,NB,15,0.2308
alon,NB,15,0.3077
alon,NB,15,0.0833
alon,NB,15,0.0833
alon,NB,15,0.25
alon,NB,15,0.2308
alon,NB,15,0.2308
alon,NB,15,0.1667
alon,NB,15,0.1667
alon,NB,15,0.3333
alon,NB,15,0.1538
alon,NB,15,0.0
alon,NB,15,0.3333
alon,NB,15,0.0833
alon,NB,15,0.1667
alon,NB,15,0.1538
alon,NB,15,0.1538
alon,NB,15,0.0
alon,NB,15,0.1667
alon,NB,15,0.3333
alon,NB,15,0.2308
alon,NB,15,0.2308
alon,NB,15,0.1667
alon,NB,15,0.0833
alon,NB,15,0.3333
alon,SVM,5,0.2308
alon,SVM,5,0.3077
alon,SVM,5,0.1667
alon,SVM,5,0.0833
alon,SVM,5,0.1667
alon,SVM,5,0.0
alon,SVM,5,0.2308
alon,SVM,5,0.0833
alon,SVM,5,0.1667
alon,SVM,5,0.3333
alon,SVM,5,0.1538
alon,SVM,5,0.1538
alon,SVM,5,0.3333
alon,SVM,5,0.0833
alon,SVM,5,0.25
alon,SVM,5,0.1538
alon,SVM,5,0.1538
alon,SVM,5,0.0
alon,SVM,5,0.25
alon,SVM,5,0.25
alon,SVM,5,0.3077
alon,SVM,5,0.1538
alon,SVM,5,0.1667
alon,SVM,5,0.1667
alon,SVM,5,0.3333
alon,SVM,10,0.0
alon,SVM,10,0.3077
alon,SVM,10,0.1667
alon,SVM,10,0.0833
alon,SVM,10,0.1667
alon,SVM,10,0.3077
alon,SVM,10,0.1538
alon,SVM,10,0.1667
alon,SVM,10,0.25
alon,SVM,10,0.3333
alon,SVM,10,0.0769
alon,SVM,10,0.0769
alon,SVM,10,0.3333
alon,SVM,10,0.0833
alon,SVM,10,0.1667
alon,SVM,10,0.2308
alon,SVM,10,0.3077
alon,SVM,10,0.0
alon,SVM,10,0.1667
alon,SVM,10,0.25
alon,SVM,10,0.3846
alon,SVM,10,0.0769
alon,SVM,10,0.1667
alon,SVM,10,0.0833
alon,SVM,10,0.3333
alon,SVM,15,0.2308
alon,SVM,15,0.3077
alon,SVM,15,0.0833
alon,SVM,15,0.0833
alon,SVM,15,0.1667
alon,SVM,15,0.0769
alon,SVM,15,0.2308
alon,SVM,15,0.1667
alon,SVM,15,0.1667
alon,SVM,15,0.3333
alon,SVM,15,0.1538
alon,SVM,15,0.0769
alon,SVM,15,0.3333
alon,SVM,15,0.0833
alon,SVM,15,0.25
alon,SVM,15,0.2308
alon,SVM,15,0.1538
alon,SVM,15,0.0
alon,SVM,15,0.25
alon,SVM,15,0.25
alon,SVM,15,0.3846
alon,SVM,15,0.2308
alon,SVM,15,0.3333
alon,SVM,15,0.1667
alon,SVM,15,0.25
